TGID,Kmem Count,Vmem Count,Slab Count
13515,71,128,1000
13516,74,130,1000
42,53,11,1000
13333,1000,0,1
4486,334,70,1000
3649,1000,4,310
13517,54,106,1000
13204,630,100,1000
7183,886,1000,212
7712,223,1000,133
3817,1000,0,223
3649,1000,7,299
13333,1000,0,1
7183,641,1000,206
3649,1000,1,529
727,446,165,1000
727,446,165,1000
727,446,165,1002
727,446,165,1002
13333,1000,0,1
706,1000,84,456
1,1000,4,796
7183,1000,535,402
7183,1000,98,172
3649,1000,2,332
3817,1000,0,232
13204,716,90,1000
7712,624,1000,532
13333,1000,0,0
3649,1000,2,326
7183,385,1000,208
13204,813,55,1000
3817,1000,0,229
3649,1000,2,431
7183,1000,142,261
13333,1000,0,1
3817,1000,0,189
3649,1000,1,400
13204,844,43,1000
7183,1000,137,283
3817,1000,0,219
13333,1000,0,1
7712,387,1000,315
13204,858,47,1000
3649,1000,3,424
7183,1000,449,388
13333,1000,0,0
3817,1000,0,242
3649,1000,3,528
13204,867,23,1000
7183,716,1000,274
3817,1000,0,235
7712,454,1000,352
13204,803,70,1000
13333,1000,0,1
7712,19,1000,11
3649,1000,0,259
7183,1000,114,192
3817,1000,0,220
13333,1000,0,0
3649,1000,3,396
7183,1000,150,254
7712,334,1000,252
3817,1000,0,234
13204,776,54,1000
13333,1000,0,1
3649,1000,15,246
7183,1000,335,238
3817,1000,0,202
13204,738,65,1000
13333,1000,0,0
